./waveform-5000.arff
ga
41
3000
Genetic Algorithm

Error results
---------------------------
1863.542, 37.54%
2072.664, 25.3%
2655.160, 27.860000000000003%
2986.310, 44.78%
2290.385, 31.14%
2426.665, 23.3%
2811.600, 25.019999999999996%
2655.164, 41.86%
1689.661, 37.78%
1635.942, 36.199999999999996%
3338.332, 35.92%
2333.392, 41.08%
2585.747, 29.160000000000004%
1718.040, 34.68%
3126.946, 35.02%
1611.239, 31.480000000000004%
1941.246, 31.680000000000003%
1570.541, 33.18%
1686.325, 33.46%
1731.635, 37.82%
1917.723, 29.080000000000002%
2599.130, 36.4%
1563.976, 30.959999999999997%
1979.955, 44.68%
3161.079, 31.4%
1586.459, 33.339999999999996%
2308.788, 37.580000000000005%
3191.721, 33.56%
1723.896, 33.12%
2127.380, 33.54%
1808.495, 29.98%
1606.355, 29.520000000000003%
1685.636, 39.82%
2286.610, 28.76%
2195.747, 20.06%
1818.726, 30.080000000000002%
2959.846, 31.52%
2324.846, 38.86%
1611.524, 36.199999999999996%
2614.312, 33.96%
1749.629, 32.68%
2151.300, 31.180000000000003%
3062.669, 32.5%
2355.436, 34.22%
1527.666, 36.3%
1928.369, 30.259999999999998%
1958.572, 45.300000000000004%
3232.898, 29.4%
2093.541, 42.44%
1638.611, 32.76%
1750.000, 35.68%
1663.779, 41.36%
1961.313, 40.839999999999996%
1542.841, 33.08%
2357.513, 26.419999999999998%
1668.397, 33.379999999999995%
1537.128, 35.52%
1723.502, 36.78%
2741.558, 48.22%
2381.466, 30.659999999999997%
1580.811, 34.14%
1774.675, 40.42%
2086.915, 29.220000000000002%
1645.896, 33.18%
1723.601, 33.18%
1588.525, 32.24%
2320.805, 31.64%
1581.410, 33.14%
2566.880, 35.699999999999996%
1597.260, 31.480000000000004%
1746.154, 32.86%
2394.249, 45.839999999999996%
1634.816, 35.5%
2407.737, 31.1%
1551.598, 34.5%
1608.231, 32.98%
1493.784, 34.98%
1521.539, 34.1%
1720.473, 32.54%
1628.472, 33.36%
2552.004, 18.44%
1991.926, 25.979999999999997%
1646.309, 32.92%
1826.221, 34.68%
1606.269, 34.52%
1604.781, 34.2%
1626.668, 33.86%
1792.954, 34.06%
2313.180, 28.32%
1778.898, 33.58%
1806.185, 37.46%
2370.262, 45.4%
1609.534, 35.56%
1525.619, 33.06%
1907.023, 32.019999999999996%
1543.787, 33.239999999999995%
2990.146, 30.84%
1654.597, 33.54%
1591.728, 33.160000000000004%
1587.707, 33.44%
1406.885, 38.7%
1891.969, 28.48%
1514.518, 33.0%
1680.765, 32.66%
1829.340, 33.96%
1639.743, 33.76%
2500.859, 36.199999999999996%
1525.524, 33.42%
1799.644, 40.52%
1457.353, 36.52%
1590.828, 33.64%
1703.027, 36.74%
1546.300, 36.480000000000004%
1748.528, 34.12%
1773.417, 34.06%
1641.096, 33.239999999999995%
1529.615, 33.62%
1683.256, 30.28%
1625.520, 33.1%
1533.077, 36.66%
