@relation 'vowel_rp_2'

@attribute attr_1 numeric
@attribute attr_2 numeric

@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}

@data
0.0, 0.08664890372701128, class0
0.0, -0.012791993401285229, class1
0.0, -0.06523332273660004, class2
0.0, 0.15295403747031683, class3
0.0, -0.0799769761535537, class4
0.0, -0.275429527205339, class5
0.0, -0.057943884466604534, class6
0.0, -0.13676548954219653, class7
0.0, -0.1651668817885022, class8
0.0, -0.0230072054851026, class9
0.0, -0.0018588070309310534, class10
0.0, 0.07751504556231709, class0
0.0, 0.033762437274168014, class1
0.0, -0.03752928018045315, class2
0.0, -0.03889066812713471, class3
0.0, 0.05710618523847141, class4
0.0, -0.19519781960336666, class5
0.0, -0.2339971242045728, class6
0.0, -0.15045237171000922, class7
0.0, -0.4633113137654429, class8
0.0, -0.006461930369437485, class9
0.0, 0.09400864211390064, class10
0.0, 0.04038615978373611, class0
0.0, -0.0392935219125731, class1
0.0, 0.020649776704075626, class2
0.0, 0.07951066680644464, class3
0.0, 0.08581121197329444, class4
0.0, -0.2761850654343589, class5
0.0, -0.49859122896963803, class6
0.0, -0.18656741401482851, class7
0.0, -0.3304552258272383, class8
0.0, -0.08036298303376804, class9
0.0, 0.1566012010702262, class10
0.0, 0.0057864584795271345, class0
0.0, -0.11745503092083276, class1
0.0, 0.07926365158262696, class2
0.0, 0.11501643894030911, class3
0.0, 0.055814490084814816, class4
0.0, -0.44186015839108383, class5
0.0, -0.4383867772652241, class6
0.0, -0.7343171672199058, class7
0.0, -0.32224987836783775, class8
0.0, -0.23949167002268534, class9
0.0, 0.18199416060703538, class10
0.0, -0.011777483040788628, class0
0.0, -0.1686027616850691, class1
0.0, -0.019449458568481494, class2
0.0, 0.18580708639213134, class3
0.0, -0.16780490802387454, class4
0.0, -0.500863602594978, class5
0.0, -0.3719000847438012, class6
0.0, -0.3315795195668956, class7
0.0, -0.397315439256038, class8
0.0, -0.16904659909513564, class9
0.0, 0.12390715114437448, class10
0.0, 0.020813489457480183, class0
0.0, -0.1736096986408556, class1
0.0, -0.02749675034704552, class2
0.0, 0.16667118071981352, class3
0.0, -0.17552188789275164, class4
0.0, -0.4369251917707468, class5
0.0, -0.40470422297501735, class6
0.0, -0.36357795922445457, class7
0.0, -0.2342674347564656, class8
0.0, 0.010916659801074868, class9
0.0, 0.1371577514228491, class10
-0.12308720657211021, -0.25497404729227136, class0
-0.12308720657211021, -0.1489495846626522, class1
-0.12308720657211021, -0.11582189076891126, class2
-0.12308720657211021, 0.0504081733900395, class3
-0.12308720657211021, -0.046677691895148726, class4
-0.12308720657211021, -0.7031707803911392, class5
-0.12308720657211021, -0.4104735465454552, class6
-0.12308720657211021, -0.43749383293377386, class7
-0.12308720657211021, -0.7712408148589927, class8
-0.12308720657211021, -0.7882707136749325, class9
-0.12308720657211021, -0.47161859123968397, class10
-0.12308720657211021, -0.22624935266920954, class0
-0.12308720657211021, -0.046581258380844724, class1
-0.12308720657211021, -0.011026114384161997, class2
-0.12308720657211021, -0.05142546832710601, class3
-0.12308720657211021, 0.14505350496825467, class4
-0.12308720657211021, -0.72207368110224, class5
-0.12308720657211021, -0.4550599248847154, class6
-0.12308720657211021, -0.26840353706670594, class7
-0.12308720657211021, -0.764965137933195, class8
-0.12308720657211021, -0.6354104755654867, class9
-0.12308720657211021, -0.3412072625762911, class10
-0.12308720657211021, -0.23433734838500372, class0
-0.12308720657211021, 0.012068734619336774, class1
